vp time CCC KSU PME BKS BES LBS
ExampleVP2 349 151.42 365.77 1467.8 1577.35 1133.63 3431.74
ExampleVP2 350 151.8 365.75 1467.8 1577.38 1133.69 3431.69
ExampleVP2 351 151.85 365.78 1467.8 1577.41 1133.66 3431.68
ExampleVP2 352 151.9 365.8 1467.85 1577.41 1133.79 3431.66
ExampleVP2 353 151.86 365.77 1467.84 1577.37 1133.65 3431.71
ExampleVP2 354 151.83 365.83 1467.83 1577.41 1133.68 3431.72
ExampleVP2 355 151.69 365.83 1467.78 1577.37 1133.65 3431.75
ExampleVP2 356 151.86 365.79 1467.84 1577.36 1133.67 3431.66
ExampleVP2 357 151.83 365.78 1467.8 1577.39 1133.65 3431.66
ExampleVP2 358 151.89 365.82 1467.83 1577.29 1133.73 3431.67
ExampleVP2 359 151.89 365.8 1467.81 1577.33 1133.66 3431.72
ExampleVP2 360 151.4 365.71 1467.8 1577.34 1133.65 3431.78
ExampleVP2 361 151.86 365.82 1467.84 1577.4 1133.63 3431.74
ExampleVP2 362 151.5 365.7 1467.8 1577.38 1133.69 3431.66
ExampleVP2 363 151.81 365.76 1467.87 1577.39 1133.69 3431.7
ExampleVP2 364 151.85 365.73 1467.81 1577.26 1133.7 3431.71
ExampleVP2 365 151.78 365.76 1467.82 1577.4 1133.7 3431.7
